price,type,superficie,nombre_chambres,nombre_sdb,category,area,city
700000,Appartements,170,3,3,Location,VDN,Dakar
350000,Appartements,140,3,3,Location,Ngor,Dakar
1250000,Villas,271,4,3,Location,Point-e,Dakar
,Appartements,170,3,3,Location,Point-e,Dakar
250000,Appartements,170,2,2,Location,Ouest foire,Dakar
670000,Appartements,170,2,3,Location,Almadies,Dakar
750000,Appartements,170,3,3,Location,Dakar,Dakar
250000,Appartements,170,3,3,Location,Médina,Dakar
600000,Appartements,150,3,4,Location,Mamelles,Dakar
280000,Appartements,120,2,2,Location,Hlm grand-yoff,Dakar
400000,Appartements,170,3,2,Location,Liberte 6 extension,Dakar
35000,Appartements,80,2,3,Location,Ouest foire,Dakar
2000000,Appartements,170,3,3,Location,Fenêtre mermoz,Dakar
1600000,Appartements,170,3,3,Location,Almadies,Dakar
750000,Appartements,170,2,2,Location,Point-e,Dakar
1000000,Appartements,300,3,4,Location,Sicap Sacré-cœur,Dakar
700000,Appartements,100,1,1,Location,Hann maristes,Dakar
350000,Appartements,170,3,3,Location,Almadies,Dakar
750000,Appartements,170,3,4,Location,Almadies,Dakar
65000000,Appartements,170,1,2,Location,Mermoz,Dakar
2800000,Villas,440,4,6,Location,Almadies,Dakar
600000,Appartements,170,3,3,Location,Almadies,Dakar
400000,Appartements,12,2,2,Location,Point-e,Dakar
350000,Appartements,170,2,2,Location,Ngor,Dakar
1100000,Villas,244,4,4,Location,Virage,Dakar
900000,Appartements,170,2,2,Location,Mermoz,Dakar
1700000,Appartements,200,3,3,Location,Fann,Dakar
450000,Appartements,150,2,3,Location,Mamelles,Dakar
250000,Appartements,150,3,3,Location,Mamelles,Dakar
,Appartements,210,3,4,Location,Sacré-cœur,Dakar
275000,Appartements,100,1,1,Location,VDN,Dakar
750000,Villas,170,5,6,Location,Almadies,Dakar
900000,Appartements,150,3,4,Location,Almadies,Dakar
2300000,Appartements,250,3,5,Location,Plateau,Dakar
750000,Villas,170,4,3,Location,Virage,Dakar
1100000,Appartements,195,3,5,Location,Virage,Dakar
1200000,Appartements,170,3,3,Location,Point-e,Dakar
1,Appartements,170,3,3,Location,Cité keur gorgui,Dakar
3000000,Villas,480,5,6,Location,Ngor,Dakar
850000,Appartements,153,3,3,Location,Point-e,Dakar
1500000,Appartements,170,3,5,Location,Mamelles,Dakar
1800000,Villas,250,4,4,Location,Fenêtre mermoz,Dakar
1600000,Appartements,200,3,4,Location,Point-e,Dakar
600000,Appartements,200,3,4,Location,Mamelles,Dakar
290000,Appartements,170,2,2,Location,Sacré-cœur,Dakar
125000,Appartements,170,2,2,Location,Mbao,Dakar
450000,Appartements,170,3,3,Location,Sicap baobab,Dakar
950000,Appartements,170,3,4,Location,Point-e,Dakar
2000000,Appartements,170,2,2,Location,Mermoz,Dakar
